dish_name,alternate_alias,cuisine_name,region,category,sub_category,main_ingredient_category,dietary_type,course,primary_protein,dish_importance_score,spice_level,sweet_score,salt_score,sour_score,bitter_score,umami_score,spicy_score,rich_fat_score,astringency_score,viscosity_score,crunchy_score,chewy_score,aromatic_score,funk_score,rating,ingredients,description,serving_temperature
Banana Pudding,,American,Southern,Dessert,Pudding,Fruit Dish,Veg,Dessert,Fruit,6.3,Low,9,1,1,1,1,1,4,1,1,1,1,2,1,,"bananas, vanilla pudding, wafers, whipped topping, salt, black pepper, garlic, onion, butter, oil","Banana pudding is a beloved Southern dessert layered with bananas, vanilla pudding, and cookies.",room_temp
Bananas Foster,,American,New Orleans,Dessert,Warm Dessert,Milk Dish,Veg,Dessert,Milk,3.7,Low,9,3,1,1,2,1,9,1,7,1,1,4,1,,"bananas, butter, brown sugar, rum, cinnamon, ice cream, salt, black pepper, garlic, onion, oil",Bananas Foster is a New Orleans dessert of bananas cooked in a buttery rum sauce and served over ice cream.,hot
Beef Rib Barbecue,Dinosaur beef ribs,American,Texas,Main Dish,Barbecue,Beef Dish,Non-Veg,Main,Beef,5.3,Mild,1,5,1,2,8,2,4,1,2,2,4,6,1,,"beef ribs, spice rub, smoke, salt, black pepper, garlic, onion, butter, oil",Smoked beef ribs are a prominent Texas barbecue item.,hot
Beef on Weck,,American,Buffalo,Main Dish,Sandwich,Beef Dish,Non-Veg,Main,Beef,5.3,Mild,1,6,1,2,8,1,4,2,2,2,5,3,1,,"roast beef, kummelweck roll, horseradish, jus, bread, butter, lettuce, tomato, mayonnaise",Beef on weck is a Buffalo sandwich of roast beef on a salted kummelweck roll.,room_temp
Beignets,,American,New Orleans,Dessert,Fried Pastry,Wheat Dish,Veg,Dessert,Wheat,6.3,Low,9,1,1,1,1,1,7,1,2,6,1,2,1,,"yeast dough, sugar, oil, powdered sugar, salt, black pepper, garlic, onion, butter",Beignets are square fried pastries famously associated with New Orleans and usually served under powdered sugar.,hot
Berger Cookies,,American,Baltimore,Dessert,Cookie,Wheat Dish,Veg,Dessert,Wheat,3.7,Low,9,1,1,1,1,1,4,1,5,1,1,2,1,,"shortbread cookie, fudge frosting, salt, black pepper, garlic, onion, butter, oil",Berger cookies are Baltimore cookies topped with a thick layer of chocolate fudge.,room_temp
Bierock,,American,Kansas,Main Dish,Stuffed Bread,Beef Dish,Non-Veg,Main,Beef,4.3,Low,2,4,1,2,8,1,4,1,2,2,7,4,1,,"bread dough, beef, cabbage, onion, salt, black pepper, garlic, butter, oil",A bierock is a Midwestern stuffed bread pocket filled with meat and cabbage.,hot
Biscuits and Gravy,Sawmill gravy biscuits,American,Southern,Breakfast,Bread with Gravy,Pork Dish,Non-Veg,Breakfast,Pork,6.3,Mild,3,5,3,1,6,2,6,1,5,2,4,3,3,,"buttermilk biscuits, sausage gravy, milk, flour, black pepper, salt, garlic, onion, oil","Biscuits and gravy is a classic Southern breakfast of split biscuits covered in peppery gravy, often made with sausage drippings.",room_temp
Bison Stew,,American,Native American Plains,Main Dish,Stew,Beef Dish,Non-Veg,Soup,Beef,5.3,Mild,1,6,1,1,5,1,3,2,6,2,1,3,1,,"bison meat, root vegetables, stock, onion, garlic, broth, potato, carrot, celery, thyme, bay leaf",Bison stew reflects Plains Indigenous use of bison as a central food source.,hot
Black and White Cookie,,American,New York,Dessert,Cookie,Dessert,Veg,Dessert,Bread/Wheat,6.3,Low,9,1,1,4,1,1,3,1,1,1,1,2,1,,"cake-like cookie, vanilla icing, chocolate icing, salt, black pepper, garlic, onion, butter, oil",The black and white cookie is a New York bakery classic frosted in two contrasting icings.,room_temp
Blue Corn Mush,,American,Native American Southwest,Breakfast,Porridge,Corn Dish,Vegan,Breakfast,Corn,5.3,Mild,1,6,1,1,2,1,2,1,5,1,1,2,1,,"blue cornmeal, water, salt, black pepper, garlic, onion, butter, oil",Blue corn mush is a Southwestern Indigenous cornmeal porridge.,hot
Blue Moon Ice Cream,,American,Midwestern,Dessert,Ice Cream,Milk Dish,Veg,Dessert,Milk,3.7,Low,9,1,1,1,1,1,7,1,7,1,1,2,1,,"cream, sugar, flavoring, salt, black pepper, garlic, onion, butter, oil",Blue Moon is a brightly colored Midwestern regional ice cream flavor.,cold
Boiled Peanuts,,American,Southern,Snack,Boiled Legume,Nut Dish,Vegan,Snack,Nuts,2.5,Mild,1,7,1,1,5,1,2,2,4,4,1,5,1,,"green peanuts, salt, water, optional spices, black pepper, garlic, onion, butter, oil",Boiled peanuts are a Southern snack made by simmering raw peanuts in salty water until tender.,hot
Booyah,,American,Wisconsin,Main Dish,Stew,Chicken Dish,Non-Veg,Soup,Chicken,5.3,Mild,1,6,1,1,9,1,3,2,6,2,4,3,1,,"chicken or beef, vegetables, stock, onion, garlic, broth, potato, carrot, celery, thyme, bay leaf",Booyah is a Midwestern community stew especially associated with Wisconsin and Green Bay.,hot
Boston Baked Beans,Beantown baked beans,American,New England,Main Dish,Bean Dish,Pork Dish,Non-Veg,Main,Pork,7.0,Mild,6,7,1,1,9,2,4,2,7,1,3,4,1,,"navy beans, molasses, salt pork or vegetarian seasoning, onion, mustard, black pepper, garlic, butter, oil",Boston baked beans are a classic New England bean dish of slow-baked navy beans sweetened with molasses and traditionally flavored with salt pork.,hot
Boudin,,American,Cajun,Main Dish,Sausage,Pork Dish,Non-Veg,Main,Pork,5.3,Medium,1,4,1,1,8,5,4,1,2,2,6,4,3,,"pork, rice, liver, green onion, cayenne, salt, black pepper, garlic, butter, oil","Boudin is a Cajun sausage made from pork, rice, aromatics, and seasoning, usually sold by the link.",hot
Boudin Balls,,American,Cajun,Snack,Fried Dish,Pork Dish,Non-Veg,Snack,Pork,2.5,Mild,1,4,1,1,7,4,8,1,2,7,5,2,1,,"boudin filling, breadcrumbs, oil, salt, black pepper, garlic, onion, butter",Boudin balls are Cajun fried balls made from boudin sausage filling.,hot
Bread Pudding,,American,Southern,Bread,Bread,Egg Dish,Non-Veg,Side,Egg,5.8,Low,9,3,1,1,2,1,4,1,4,1,3,2,1,,"bread, milk, eggs, sugar, vanilla, raisins, salt, black pepper, garlic, onion, butter, oil","Bread pudding is widely eaten in the South, often baked until custardy and served with sauce.",hot
Breakfast Burrito,,American,New Mexico,Breakfast,Burrito,Egg/Meat Dish,Non-Veg,Breakfast,Egg,5.3,Mild,1,5,1,1,5,4,5,1,2,2,2,2,2,,"tortilla, eggs, potatoes, cheese, chile, meat, salt, black pepper, garlic, onion, butter, oil",The breakfast burrito is strongly associated with New Mexico and the Southwest.,hot
Breakfast Taco,,American,Texas,Breakfast,Taco,Pork Dish,Non-Veg,Breakfast,Pork,6.9,Mild,1,7,1,1,6,2,8,1,2,2,3,2,3,,"flour tortilla, egg, potato, cheese, bacon or chorizo, salt, black pepper, garlic, onion, butter, oil","The breakfast taco is a Texas staple served in tortillas with fillings such as eggs, potatoes, and cheese.",hot
Brown Bread,Boston brown bread,American,New England,Bread,Quick Bread,Wheat Dish,Vegan,Side,Wheat,2.0,Low,5,3,1,1,2,1,2,2,1,1,3,2,1,,"rye flour, cornmeal, whole wheat flour, molasses, baking soda, salt, black pepper, garlic, onion, butter, oil",Brown bread is a steamed New England quick bread made with a mix of flours and molasses.,hot
Brunswick Stew,,American,Southern,Main Dish,Stew,Chicken Dish,Non-Veg,Soup,Chicken,5.3,Mild,1,4,4,2,9,2,3,2,8,1,3,3,1,,"chicken or pork, tomatoes, corn, lima beans, barbecue seasoning, onion, garlic, broth, potato, carrot, celery, thyme","Brunswick stew is a hearty Southern stew often made with shredded meat, tomatoes, and vegetables.",hot
Buckeyes,,American,Ohio,Dessert,Candy,Nut Dish,Veg,Dessert,Nuts,3.7,Low,9,1,1,4,1,1,8,2,1,1,1,2,1,,"peanut butter, butter, powdered sugar, chocolate, salt, black pepper, garlic, onion, oil",Buckeyes are Ohio candies of peanut butter partially dipped in chocolate.,room_temp
Buffalo Wings,Chicken wings,American,Buffalo,Appetizer,Fried Dish,Chicken Dish,Non-Veg,Appetizer,Chicken,2.5,Medium,1,4,1,1,5,4,8,1,4,7,2,4,1,,"chicken wings, hot sauce, butter, salt, black pepper, garlic, onion, oil","Buffalo wings are deep-fried wings tossed in a hot sauce and butter mixture, originating in Buffalo, New York.",hot
Bumpy Cake,,American,Michigan,Dessert,Cake,Wheat Dish,Veg,Dessert,Wheat,3.7,Low,9,1,1,4,1,1,4,1,1,1,1,2,1,,"chocolate cake, buttercream ridges, chocolate icing, salt, black pepper, garlic, onion, oil",Bumpy cake is a Detroit-area chocolate cake with frosting 'bumps' under a chocolate glaze.,room_temp
Burgoo,,American,Kentucky,Main Dish,Stew,Vegetable Dish,Non-Veg,Soup,Vegetables,5.3,Mild,1,6,4,1,7,2,3,2,7,1,1,3,1,,"mixed meats, vegetables, stock, tomatoes, onion, garlic, broth, potato, carrot, celery, thyme, bay leaf",Burgoo is a Kentucky stew known for combining several meats with vegetables in a thick communal pot.,hot
Butter Burger,,American,Wisconsin,Main Dish,Burger,Cheese Dish,Non-Veg,Main,Cheese,5.3,Mild,2,6,1,1,9,1,9,1,2,2,5,4,2,,"burger patty, buttered bun, cheese, onions, salt, black pepper, garlic, oil","The butter burger is a Wisconsin burger known for a buttered bun and rich, simple toppings.",hot
Butter Cake,,American,Midwestern,Dessert,Cake,Egg Dish,Veg,Dessert,Egg,6.3,Low,9,1,1,1,1,1,8,1,2,1,1,2,1,,"butter, sugar, flour, eggs, salt, black pepper, garlic, onion, oil","Butter cake refers to rich, buttery regional cakes popular in parts of the Midwest.",room_temp
Butter Mochi,,American,Hawaiian,Dessert,Cake,Rice Dish,Veg,Dessert,Rice,3.7,Low,9,1,1,1,1,1,9,1,2,1,7,2,1,,"mochiko rice flour, butter, coconut milk, sugar, salt, black pepper, garlic, onion, oil",Butter mochi is a chewy baked Hawaii dessert blending Japanese and local influences.,room_temp
California Roll,,American,California,Main Dish,Sushi Roll,Seafood Dish,Pescatarian,Main,Crab,4.3,Low,1,4,1,1,6,1,4,1,2,2,5,2,1,,"rice, nori, imitation crab or crab, avocado, cucumber, salt, black pepper, garlic, onion, butter, oil",The California roll is an American sushi roll created in California and known for avocado and crab filling.,hot
California-Style Pizza,,American,California,Main Dish,Pizza,Cheese Dish,Veg,Main,Cheese,7.1,Mild,1,5,1,1,5,1,5,1,2,5,2,2,2,,"pizza dough, cheese, creative toppings, vegetables, salt, black pepper, garlic, onion, butter, oil",California-style pizza uses a thin crust and broad topping combinations reflecting the state's fusion style.,hot
Carne Adovada,,American,New Mexico,Main Dish,Braised Meat,Pork Dish,Non-Veg,Main,Pork,4.8,Mild,1,4,1,1,7,4,4,1,4,2,5,8,1,,"pork, red chile sauce, garlic, oregano, salt, black pepper, onion, butter, oil",Carne adovada is a New Mexican pork dish braised in a red chile sauce.,hot
Carne Asada Fries,,American,San Diego,Snack,Loaded Fries,Beef Dish,Non-Veg,Snack,Beef,2.5,Mild,1,5,4,2,8,4,9,1,7,2,5,2,2,,"french fries, grilled beef, cheese, guacamole, sour cream, salt, black pepper, garlic, onion, butter, oil",Carne asada fries are a San Diego borderlands dish of fries topped with carne asada and Tex-Mex style toppings.,room_temp
Cedar Plank Salmon,,American,Pacific Northwest,Main Dish,Roasted/Grilled Seafood,Fish Dish,Pescatarian,Main,Fish,5.3,Mild,1,4,1,2,6,1,3,1,2,3,2,7,1,,"salmon, cedar plank, herbs, seasoning, salt, black pepper, garlic, onion, butter, oil",Cedar plank salmon reflects Pacific Northwest cooking traditions centered on salmon.,hot
Chaudin,Ponce,American,Cajun,Main Dish,Stuffed Offal Dish,Pork Dish,Non-Veg,Main,Pork,6.3,Mild,1,4,1,1,8,4,4,1,2,2,5,7,1,,"stuffed pig stomach, pork, rice, spices, salt, black pepper, garlic, onion, butter, oil",Chaudin is a traditional Cajun dish of stuffed pork stomach seasoned and slow-cooked.,hot
Chess Pie,,American,Southern,Dessert,Pie,Egg Dish,Non-Veg,Dessert,Egg,6.3,Low,9,1,1,1,1,1,7,1,2,3,1,2,1,,"sugar, eggs, butter, cornmeal, pie crust, salt, black pepper, garlic, onion, oil","Chess pie is a classic Southern pie with a sweet, rich custard filling.",room_temp
Chess Squares,,American,Southern,Dessert,Bar Cookie,Egg Dish,Non-Veg,Dessert,Egg,3.7,Low,9,2,1,1,3,1,9,1,6,1,1,2,2,,"cake mix or flour, cream cheese, eggs, sugar, salt, black pepper, garlic, onion, butter, oil",Chess squares are rich Southern dessert bars related in flavor to chess pie.,room_temp
Chicago-Style Hot Dog,,American,Chicago,Main Dish,Hot Dog,Pork Dish,Non-Veg,Main,Pork,7.3,Hot,2,7,5,1,9,5,4,2,2,2,7,6,3,,"hot dog, poppy seed bun, mustard, relish, onion, sport peppers, pickle, tomato","The Chicago-style hot dog is dressed with mustard, relish, onion, tomato, pickle, peppers, and celery salt.",hot
Chicken Fried Bacon,,American,Texas,Snack,Fried Dish,Pork Dish,Non-Veg,Snack,Pork,2.5,Mild,1,6,1,1,7,2,8,1,2,7,4,2,3,,"bacon, batter, oil, salt, black pepper, garlic, onion, butter",Chicken-fried bacon is a Texas fair-style dish of battered and fried bacon.,hot
Chicken Long Rice,,American,Hawaiian,Main Dish,Soup/Noodle Dish,Chicken Dish,Non-Veg,Soup,Chicken,3.0,Mild,1,6,1,1,8,1,3,2,4,2,8,7,1,,"chicken, bean-thread noodles, ginger, broth, salt, black pepper, garlic, onion, butter, oil",Chicken long rice is a Hawaii dish of chicken and glass noodles in broth.,hot
Chicken Pot Pie (PA Dutch),Bott boi,American,Pennsylvania Dutch,Main Dish,Stew/Pasta,Chicken Dish,Non-Veg,Soup,Chicken,3.7,Low,3,5,1,1,8,2,4,1,5,2,7,4,1,,"chicken, broth, square noodles, vegetables, onion, garlic, potato, carrot, celery, thyme, bay leaf",Pennsylvania Dutch chicken pot pie is a stew with homemade noodles rather than a baked pie.,hot
Chicken Riggies,,American,Upstate New York,Main Dish,Pasta Dish,Chicken Dish,Non-Veg,Main,Chicken,5.3,Hot,1,5,3,1,7,5,7,2,7,2,4,5,1,,"rigatoni, chicken, peppers, tomato-cream sauce, salt, black pepper, garlic, onion, butter, oil",Chicken riggies is an upstate New York pasta dish with chicken and spicy creamy tomato sauce.,hot
Chicken and Waffles,,American,Soul Food,Main Dish,Sweet-Savory Combo,Chicken Dish,Non-Veg,Main,Chicken,6.9,Mild,2,4,1,1,6,1,9,1,2,9,1,2,1,,"fried chicken, waffles, butter, syrup, sugar, flour, eggs, vanilla, baking powder","Chicken and waffles combines crisp fried chicken with waffles and sweet toppings, popular in soul food and broader American dining.",room_temp
Chicken-Fried Steak,,American,Texas,Main Dish,Fried Dish,Beef Dish,Non-Veg,Main,Beef,4.0,Low,1,4,1,3,8,2,9,1,9,8,6,2,1,,"beef cutlet, flour, egg, milk gravy, oil, salt, black pepper, garlic, onion, butter",Chicken-fried steak is a Texas and Southern comfort dish of breaded beef cutlet fried and served with cream gravy.,hot
Chile Con Queso,Queso dip,American,Tex-Mex,Appetizer,Dip,Cheese Dish,Veg,Appetizer,Cheese,2.5,Medium,1,5,3,1,5,4,5,2,8,2,1,7,2,,"melted cheese, chiles, tomatoes, spices, salt, black pepper, garlic, onion, butter, oil",Chile con queso is a Tex-Mex cheese dip flavored with peppers and seasonings.,room_temp
Chili Con Carne,Texas chili,American,Texas,Main Dish,Stew,Beef Dish,Non-Veg,Soup,Beef,6.3,Hot,1,6,1,1,9,6,4,2,8,2,4,8,1,,"beef, chili peppers, cumin, garlic, stock, onion, broth, potato, carrot, celery, thyme, bay leaf","Chili con carne is a Texas-associated chili made with beef and chiles, often without beans in traditional versions.",hot
Chimichanga,,American,Southwestern,Main Dish,Fried Burrito,Mixed Dish,Non-Veg,Main,Mixed,5.3,Mild,1,5,1,1,7,4,8,2,7,7,2,2,2,,"flour tortilla, meat or beans, cheese, oil, salt, black pepper, garlic, onion, butter",The chimichanga is a deep-fried burrito associated with Arizona and Southwestern American cuisine.,hot
Chopped Cheese,,American,New York,Main Dish,Sandwich,Beef Dish,Non-Veg,Main,Beef,5.3,Mild,1,7,2,1,9,3,7,2,2,3,5,5,2,,"chopped beef, onions, cheese, hero roll, lettuce, tomato, bread, butter, mayonnaise",The chopped cheese is a New York City bodega sandwich of chopped ground beef and melted cheese.,room_temp
Cincinnati Chili,,American,Ohio Valley,Main Dish,Chili/Pasta,Beef Dish,Non-Veg,Main,Beef,5.3,Medium,2,7,1,1,9,4,7,1,7,2,6,8,2,,"ground beef chili, cinnamon spices, spaghetti, cheese, salt, black pepper, garlic, onion, butter, oil","Cincinnati chili is a regional meat sauce served over spaghetti and topped in 'ways' with cheese, onion, or beans.",hot
Cioppino,,American,San Francisco,Main Dish,Seafood Stew,Fish Dish,Pescatarian,Soup,Fish,3.0,Mild,2,6,5,1,9,1,3,2,5,2,2,9,1,,"mixed seafood, tomato broth, wine, garlic, herbs, onion, potato, carrot, celery, thyme, bay leaf",Cioppino is a San Francisco seafood stew made with fish and shellfish in a tomato-wine broth.,hot
Clam Cakes,,American,New England,Snack,Fritter,Seafood Dish,Pescatarian,Soup,Shellfish,3.6,Mild,1,5,1,1,7,2,6,1,3,8,1,3,1,,"clam batter, flour, clams, baking powder, oil, salt, black pepper, garlic, onion, butter",Clam cakes are New England fritters made from a clam-studded batter and commonly served with chowder.,hot
Cobb Salad,,American,California,Main Dish,Salad,Chicken Dish,Non-Veg,Salad,Chicken,2.4,Mild,1,6,3,1,7,1,8,2,2,7,1,2,7,,"lettuce, chicken, bacon, egg, avocado, blue cheese, salt, black pepper, garlic, onion, butter, oil",Cobb salad is a composed American salad born in California.,cold
Cochon de Lait Po' Boy,,American,Louisiana,Main Dish,Sandwich,Pork Dish,Non-Veg,Main,Pork,5.3,Mild,1,6,3,1,8,2,4,2,2,3,6,3,3,,"roast pork, French bread, slaw or pickles, butter, lettuce, tomato, mayonnaise",The cochon de lait po' boy is a Louisiana sandwich filled with slow-roasted pork.,room_temp
Collard Greens,,American,Soul Food,Side Dish,Greens,Turkey Dish,Non-Veg,Side,Turkey,5.5,Low,2,4,6,2,5,1,2,1,2,1,1,7,2,,"collard greens, smoked meat or turkey, onion, vinegar, salt, black pepper, garlic, butter, oil","Collard greens are a staple of Southern and soul food cooking, usually braised slowly with seasoning meat.",hot
Corn Pone,,American,Southern,Bread,Corn Bread,Wheat Dish,Vegan,Side,Wheat,2.0,Low,2,5,1,1,2,1,2,1,1,1,3,2,1,,"cornmeal, water, salt, fat, black pepper, garlic, onion, butter, oil","Corn pone is a rustic Southern cornmeal bread, denser and plainer than many skillet cornbreads.",hot
Cornbread,,American,Southern,Bread,Quick Bread,Corn Dish,Veg,Side,Corn,6.2,Low,3,4,3,1,3,1,6,1,5,2,3,3,3,,"cornmeal, flour, buttermilk, egg, butter, salt, black pepper, garlic, onion, oil","Cornbread is a foundational bread in Southern cooking, baked from cornmeal and often served with stews, greens, or barbecue.",hot
Country Captain,,American,Southern,Main Dish,Curry-Style Stew,Chicken Dish,Non-Veg,Soup,Chicken,5.3,Mild,3,4,4,2,7,3,3,2,7,1,2,5,1,,"chicken, tomatoes, onion, curry powder, raisins, garlic, broth, potato, carrot, celery, thyme, bay leaf","Country Captain is a Southern chicken dish with curry seasoning, tomatoes, and often raisins.",hot
Country Ham,,American,Southern,Main Dish,Cured Meat,Pork Dish,Non-Veg,Main,Pork,6.3,Medium,1,9,1,1,9,1,4,1,2,1,4,3,3,,"salt-cured ham, black pepper, garlic, onion, butter, oil",Country ham is a salt-cured Southern ham traditionally sliced thin and served at breakfast or dinner.,hot
Courtbouillon,Court-bouillon,American,Cajun,Main Dish,Fish Stew,Fish Dish,Pescatarian,Soup,Fish,5.3,Medium,2,5,4,2,7,5,3,2,8,2,2,7,1,,"fish, tomato roux, onion, celery, peppers, garlic, broth, potato, carrot, thyme, bay leaf",Cajun courtbouillon is a rich fish stew or braise cooked in a seasoned sauce.,hot
Crab Cake,,American,Maryland,Main Dish,Seafood Cake,Seafood Dish,Non-Veg,Main,Crab,6.6,Low,1,5,1,1,8,2,6,1,3,4,2,7,1,,"crab meat, breadcrumbs, mayo, mustard, herbs, salt, black pepper, garlic, onion, butter, oil",Crab cakes are a signature Maryland dish built around blue crab.,room_temp
Crab Louie,,American,West Coast,Main Dish,Salad,Seafood Dish,Non-Veg,Salad,Crab,2.4,Mild,1,3,5,3,7,1,3,2,2,7,1,3,1,,"crab meat, lettuce, egg, dressing, asparagus or tomato, salt, black pepper, garlic, onion, butter, oil",Crab Louie is a West Coast salad built around crab meat and Louie dressing.,cold
Cracklins,,American,Cajun,Snack,Fried Pork,Pork Dish,Non-Veg,Snack,Pork,2.5,Mild,1,4,1,1,7,4,7,1,2,9,5,2,1,,"pork skin, pork fat, seasoning, salt, black pepper, garlic, onion, butter, oil",Cracklins are Cajun fried pork skin pieces that are meatier than many commercial pork rinds.,hot
Crawfish Boil,,American,Cajun,Main Dish,Boiled Seafood,Seafood Dish,Non-Veg,Appetizer,Seafood,3.0,Mild,1,4,1,1,5,4,4,1,2,2,3,2,3,,"crawfish, potatoes, corn, sausage, boil seasoning, salt, black pepper, garlic, onion, butter",A crawfish boil is a Cajun communal seafood spread built around boiled crawfish and seasoned vegetables.,hot
Crawfish Etouffee,Crawfish Étouffée,American,Louisiana Creole,Main Dish,Seafood Stew,Seafood Dish,Pescatarian,Soup,Seafood,5.3,Medium,1,5,2,2,8,5,7,2,7,2,3,6,1,,"crawfish, butter, roux, onion, celery, peppers, rice, garlic, broth, potato, carrot, thyme","Étouffée is a Louisiana dish in which shellfish, especially crawfish, are smothered in a rich seasoned sauce and served over rice.",hot
Crawfish Pie,,American,Cajun,Main Dish,Savory Pie,Seafood Dish,Non-Veg,Main,Seafood,3.7,Low,3,3,1,1,7,4,6,1,2,6,2,2,1,,"crawfish tails, roux, vegetables, pie crust, salt, black pepper, garlic, onion, butter, oil",Crawfish pie is a Cajun savory pie filled with seasoned crawfish and aromatic vegetables.,hot
Creole Cream Cheese,,American,New Orleans,Dairy,Fresh Cheese,Cheese Dish,Veg,Side,Cheese,4.3,Low,1,6,1,1,5,1,9,1,7,1,1,2,2,,"milk, cultures, salt, black pepper, garlic, onion, butter, oil",Creole cream cheese is a soft fresh cheese traditional to New Orleans.,room_temp
Deep-Dish Pizza,Chicago deep-dish,American,Chicago,Main Dish,Pizza,Pork Dish,Non-Veg,Main,Pork,7.1,Mild,2,6,3,1,8,1,8,2,4,2,3,3,2,,"pizza dough, cheese, tomato sauce, sausage or vegetables, salt, black pepper, garlic, onion, butter, oil",Chicago deep-dish pizza is baked in a deep pan with high sides and substantial filling.,hot
Detroit-Style Pizza,,American,Detroit,Main Dish,Pizza,Cheese Dish,Non-Veg,Main,Cheese,7.1,Medium,2,6,3,1,7,1,6,2,4,2,2,3,2,,"rectangular dough, brick cheese, tomato sauce, pepperoni, salt, black pepper, garlic, onion, butter, oil",Detroit-style pizza is a rectangular pan pizza with caramelized cheese edges.,hot
Dirty Rice,,American,Cajun,Side Dish,Rice Dish,Chicken Dish,Non-Veg,Side,Chicken,2.0,Mild,1,5,1,2,7,4,3,1,2,2,3,5,3,,"rice, chicken livers, ground meat, peppers, onion, celery, salt, black pepper, garlic, butter, oil",Dirty rice is a Cajun rice dish colored and flavored by finely chopped meat and aromatic vegetables.,hot
Eggs Benedict,,American,New York,Breakfast,Egg Dish,Pork Dish,Non-Veg,Breakfast,Pork,5.3,Mild,1,6,1,1,5,1,6,1,2,1,3,2,3,,"poached eggs, English muffin, ham, hollandaise, salt, black pepper, garlic, onion, butter, oil",Eggs Benedict is commonly linked to New York dining history and consists of poached eggs with hollandaise.,hot
Fajitas,,American,Tex-Mex,Main Dish,Skillet/Grilled Dish,Chicken Dish,Non-Veg,Main,Chicken,5.3,Medium,2,4,1,3,8,4,3,3,2,2,8,5,1,,"grilled skirt steak or chicken, onions, peppers, tortillas, salt, black pepper, garlic powder, onion powder, paprika, oil","Fajitas are a Tex-Mex dish of grilled meat served with peppers, onions, and tortillas.",hot
