dish_name,cuisine,context_string
Kuay Teow Nua,Thai,Main Course: Traditional Thai beef noodle soup. Slow-cooked beef in a fragrant star anise and cinnamon broth.
Pad Kra Pao,Thai,"Main Course: Holy basil stir-fry with minced meat and chilies. The ultimate Thai street food staple, usually with a fried egg."
Cashew Chicken,Thai,"Main Course: Stir-fried chicken with crunchy cashew nuts, bell peppers, and onions in a sweet-savory sauce."
Pad Priew Wan,Thai,"Main Course: Thai-style sweet and sour stir-fry with pineapple, cucumber, and tomatoes. Bright and fruity."
Pad Ginger,Thai,"Main Course: Stir-fried meat with fresh shredded ginger, wood ear mushrooms, and onions. Zesty and aromatic."
Pad Prik Khing,Thai,Main Course: Dry curry stir-fry with red curry paste and long beans. Fragrant with kaffir lime leaves and no coconut milk.
Garlic Pepper Stir-Fry,Thai,"Main Course: Simple, aromatic stir-fry dominated by toasted garlic and cracked black pepper."
Kana Moo Krob,Thai,"Main Course: Crispy pork belly stir-fried with Chinese broccoli and oyster sauce. Decadent, salty, and crunchy."
Mixed Vegetable Stir-Fry,Thai,Main Course: Seasonal vegetables sautéed in a light garlic and soy sauce. Healthy and crisp.
Green Curry,Thai,"Main Course: Spicy and sweet coconut milk curry made with green chilies, bamboo shoots, and Thai basil."
Red Curry,Thai,"Main Course: Versatile coconut curry made with dried red chilies. Savory, creamy, and moderately spicy."
Yellow Curry,Thai,"Main Course: Mild, turmeric-based coconut curry with potatoes and onions. Inspired by Indian flavors."
Massaman Curry,Thai,"Main Course: Rich, thick Persian-influenced curry with peanuts, potatoes, and warm spices like cardamom and cinnamon."
Panang Curry,Thai,"Main Course: Thick, salty-sweet red curry with a nutty peanut flavor and kaffir lime leaves."
Jungle Curry,Thai,"Main Course: Water-based spicy curry without coconut milk. Intensely herbal, spicy, and full of vegetables."
Pineapple Curry,Thai,"Main Course: Red curry base with sweet pineapple chunks and seafood or duck. Sweet, sour, and spicy."
Duck Curry,Thai,"Main Course: Roasted duck in red curry with pineapple, cherry tomatoes, and grapes. Rich and celebratory."
Thai Fried Rice,Thai,"Main Course: Classic jasmine rice stir-fry with egg, onions, and tomatoes. Simple and universally loved."
Pineapple Fried Rice,Thai,"Main Course: Fragrant fried rice with pineapple, raisins, and cashews, often served in a carved pineapple shell."
Basil Fried Rice,Thai,"Main Course: Spicy fried rice with holy basil, chilies, and garlic. A fragrant and fiery meal."
Crab Fried Rice,Thai,Main Course: Premium fried rice featuring generous chunks of sweet crab meat and scallions.
Crying Tiger,Thai,Main Course: Grilled marinated steak sliced thin and served with a fiery 'Jaew' dipping sauce. Smoky and bold.
Larb,Thai,"Salad: Zesty minced meat salad with lime, toasted rice powder, and fresh mint. Vibrant and punchy."
Gai Yang,Thai,"Main Course: Thai-style grilled chicken marinated in lemongrass, garlic, and coriander root. Juicy and smoky."
Steam Ginger Fish,Thai,"Main Course: Whole fish or fillet steamed with ginger, scallions, and soy sauce. Light, healthy, and aromatic."
Pla Rad Prik,Thai,"Main Course: Deep-fried whole fish topped with a thick, spicy, sweet and sour chili sauce."
Khao Kha Moo,Thai,Main Course: Braised pork trotter in five-spice soy broth served over rice with pickled greens and a boiled egg.
Khao Mok Gai,Thai,"Main Course: Thai-style Chicken Biryani. Turmeric rice with tender chicken, served with a sweet chili-mint sauce."
Yum Woon Sen,Thai,"Salad: Spicy and sour glass noodle salad with shrimp, minced pork, peanuts, and fresh herbs."
Tom Yum Soup,Thai,"Soup: Iconic hot and sour soup with lemongrass, galangal, lime leaves, and chilies. Bold and medicinal."
Tom Kha Soup,Thai,"Soup: Silky coconut milk soup with galangal and lime. Creamy, tangy, and aromatic."
Khua Kling,Thai,Main Course: Southern Thai dry-fried minced meat curry. Extremely spicy and packed with turmeric and herbs.
Mango Sticky Rice,Thai,Dessert: Most famous Thai dessert. Sweetened glutinous rice served with ripe yellow mango and salted coconut cream.
Fried Bananas,Thai,"Dessert: Crispy battered bananas drizzled with honey or sesame seeds. Crunchy outside, soft inside."
Thai Coconut Custard,Thai,"Dessert: Khanom Mo Kaeng. Baked custard made with coconut milk, eggs, and palm sugar, topped with fried shallots."
Sweet Sticky Rice with Custard,Thai,"Dessert: Steamed sticky rice topped with a smooth, sweet coconut egg custard wrap."
Roti with Condensed Milk,Thai,Dessert: Pan-fried flaky flatbread drizzled with sweetened condensed milk and sugar. Street food favorite.
Thai Iced Tea,Thai,"Drink: Strongly brewed black tea with spices, sweetened with sugar and topped with evaporated milk. Iconic orange color."
Thai Iced Coffee,Thai,"Drink: Strong dark roasted coffee with cardamom, sweetened and served with cream over ice."
Pink Milk,Thai,"Drink: Nom Yen. Sweet sala syrup mixed with milk. Vibrant pink, creamy, and floral."
Fresh Whole Coconut,Thai,"Drink: Natural, refreshing coconut water served inside the chilled young fruit."
Vegetable Samosa,Indian,Appetizer: Crispy triangular pastry filled with spiced potatoes and peas. Traditional savory deep-fried snack.
Paneer Tikka,Indian,"Appetizer: Cubes of marinated cottage cheese grilled in a tandoor oven. Smoky, aromatic, and protein-rich."
Chicken Tikka,Indian,Appetizer: Boneless marinated chicken pieces grilled on skewers. Intense tandoori spices and smoky finish.
Gobi Manchurian,Indian,"Appetizer: Indo-Chinese fusion dish. Crispy cauliflower florets tossed in a spicy, tangy soy-garlic sauce."
Vegetable Pakora,Indian,Appetizer: Assorted vegetable fritters dipped in chickpea batter and deep-fried. Crunchy and savory.
Samosa Chaat,Indian,"Appetizer: Deconstructed samosas topped with chickpeas, yogurt, chutneys, and spices. Street food medley."
Chicken 65,Indian,"Appetizer: Spicy, deep-fried chicken tempered with curry leaves and chilies. A fiery South Indian classic."
Papdi Chaat,Indian,"Appetizer: Crisp flour wafers topped with potatoes, yogurt, and tangy tamarind chutney. Cooling street food."
Aloo Tikki,Indian,"Appetizer: Spiced potato patties, pan-fried until golden and crispy. Often served with mint chutney."
Onion Bhaji,Indian,Appetizer: Sliced onion fritters bound with gram flour and spices. Highly aromatic and very crunchy.
Pani Puri,Indian,Appetizer: Golgappa. Hollow crispy balls filled with spiced mint water and potatoes. Iconic flavor explosion.
Chicken Lollipop,Indian,Appetizer: Frenched chicken wings battered and fried in a spicy Indo-Chinese style. Popular finger food.
Seekh Kebab,Indian,"Appetizer: Minced lamb seasoned with spices, pressed onto skewers and grilled. Juicy and intensely aromatic."
Chilli Paneer,Indian,"Appetizer: Indo-Chinese stir-fry of cottage cheese with bell peppers, green chilies, and soy sauce."
Hara Bhara Kabab,Indian,"Appetizer: Healthy vegetarian patties made from spinach, peas, and potatoes. Earthy and herb-forward."
Tandoori Chicken,Indian,"Appetizer/Main: Bone-in chicken marinated in yogurt and spices, roasted in a clay oven. Bright red and smoky."
Dahi Puri,Indian,Appetizer: Crispy puris filled with potatoes and topped with sweetened yogurt and sev. Sweet and tangy.
Bhel Puri,Indian,"Appetizer: Savory snack made of puffed rice, vegetables, and a tangy tamarind sauce. Light and crunchy."
Vada Pav,Indian,Appetizer: Mumbai street food burger. Spicy potato fritter inside a soft bread bun with garlic chutney.
Paneer Pakora,Indian,Appetizer: Cottage cheese slices dipped in spiced gram flour batter and deep-fried. Soft and savory.
Chilli Chicken,Indian,"Appetizer: Classic Indo-Chinese dish of fried chicken tossed in a spicy, savory chili-soy gravy."
Medhu Vada,Indian,"Appetizer: Savory donut-shaped lentil fritters. Crispy exterior with a soft, fluffy interior."
Idli,Indian,"Appetizer/Breakfast: Steamed fermented rice and lentil cakes. Mild, healthy, and soft texture."
Fish Tikka,Indian,Appetizer: Fillets of fish marinated in tandoori spices and grilled. Tender and smoky seafood.
Lamb Boti Kebab,Indian,Appetizer: Tender chunks of lamb marinated in a rich spice blend and grilled to perfection.
Malai Kofta,Indian,"Main Course: Fried potato and paneer dumplings in a rich, creamy tomato-onion gravy. Indulgent, sweet, and velvety."
Masala Papad,Indian,"Appetizer: Roasted or fried lentil cracker topped with chopped onions, tomatoes, and chaat masala. Tangy and crunchy."
Kachori,Indian,Appetizer: Flaky deep-fried pastry filled with spiced lentils or onions. Traditional Rajasthani street snack.
Sabudana Vada,Indian,"Appetizer: Crispy deep-fried patties made of tapioca pearls, potatoes, and peanuts. Chewy and crunchy snack."
Bharwan Mushroom,Indian,"Appetizer: Button mushrooms stuffed with spiced cheese and herbs, usually grilled. Earthy and savory."
Amritsari Fish Fry,Indian,"Appetizer: Gram-flour battered fish fillets with carom seeds and spices. Crispy, tangy, and protein-rich."
Dahi Bhalla,Indian,Appetizer: Soft lentil dumplings soaked in thick yogurt and topped with sweet and spicy chutneys. Cooling and tangy.
Chicken Chapli Kebab,Indian,Appetizer: Pashtun-style minced chicken patties with pomegranate seeds and dry spices. Smoky and textured.
Gobi 65,Indian,"Appetizer: Spicy, deep-fried cauliflower florets seasoned with curry leaves. A vegetarian version of Chicken 65."
Moong Dal Halwa Kachumber,Indian,"Side: A light salad of sprouted lentils, lime, and fresh vegetables. Healthy, crunchy, and zesty."
Mogo Chips,Indian,"Appetizer: Fried cassava chips seasoned with salt and chili. A starchy, crunchy alternative to potato fries."
Khandvi,Indian,"Appetizer: Savory gram flour rolls tempered with mustard seeds and coconut. Silky, light, and healthy."
Chicken Malai Kebab,Indian,"Appetizer: Creamy chicken skewers marinated in cream, cheese, and mild spices. Tender and melt-in-mouth."
Shrimp Tandoori,Indian,"Appetizer: Jumbo prawns marinated in yogurt and tandoori spices, charred in a clay oven. Smoky seafood."
Veg Spring Rolls,Indian,Appetizer: Crispy pastry rolls filled with stir-fried vegetables. An Indo-Chinese staple snack.
Chicken Tikka Masala,Indian,"Main Course: Grilled chicken in a complex, creamy tomato gravy. Balanced spices with a hint of sweetness."
Butter Chicken,Indian,Main Course: Murgh Makhani. Tandoori chicken simmered in a smooth buttery tomato sauce. Creamy and iconic.
Chicken Biryani,Indian,"Main Course: Layered basmati rice and chicken cooked with saffron, caramelized onions, and whole spices."
Palak Paneer,Indian,"Main Course: Cubes of fresh cottage cheese in a thick, vibrant spinach puree. Earthy, mild, and nutritious."
Lamb Rogan Josh,Indian,Main Course: Classic Kashmiri lamb curry cooked with yogurt and aromatic red chilies. Rich and tender.
Chana Masala,Indian,Main Course: Chickpeas cooked in a tangy tomato-onion gravy with ginger and amchoor. Zesty and protein-packed.
Tandoori Chicken Main,Indian,Main Course: Large portion of roasted tandoori chicken served as a main meal with naan and mint chutney.
Masala Dosa,Indian,Main Course: Large crispy rice crepe stuffed with tempered potato masala. Served with sambar and coconut chutney.
Lamb Vindaloo,Indian,Main Course: Goan-style fiery lamb curry made with vinegar and garlic. Extremely spicy and tangy.
Aloo Gobi,Indian,"Main Course: Simple comfort food of cauliflower and potatoes sautéed with turmeric, ginger, and cumin."
Dal Makhani,Indian,"Main Course: Slow-cooked black lentils with kidney beans, butter, and cream. Earthy, smoky, and extremely rich."
Chicken Korma,Indian,"Main Course: Mild and luxurious curry made with yogurt, nuts, and poppy seeds. Fragrant with cardamom and saffron."
Paneer Tikka Masala,Indian,Main Course: Grilled cottage cheese cubes in a spiced tomato gravy. A vegetarian version of the world-famous Tikka Masala.
Chicken Jalfrezi,Indian,"Main Course: A spicy stir-fry style curry with green chilies, bell peppers, and onions. Tangy and bold."
Malai Kofta Main,Indian,Main Course: Large serving of fried paneer dumplings in a silky cashew-based gravy. Served as a celebratory main.
Baingan Bharta,Indian,Main Course: Smoky mashed eggplant roasted over an open flame and sautéed with peas and spices. Rustic and earthy.
Shahi Paneer,Indian,"Main Course: 'Royal' cottage cheese curry in a thick gravy of cream, tomatoes, and spices. Sweet and savory."
Chicken Curry,Indian,"Main Course: Home-style chicken stew with a thin, spicy onion-tomato gravy. Fragrant with ginger and garlic."
Lamb Curry,Indian,Main Course: Slow-braised lamb in a traditional spice-heavy gravy. Deep umami and tender meat.
Matar Paneer,Indian,"Main Course: Classic pairing of cottage cheese and green peas in a mild, tomato-based sauce."
Kadai Paneer,Indian,Main Course: Paneer cooked in a 'Kadai' (wok) with freshly ground coriander and dried red chilies. Spicy and textured.
Saag Chicken,Indian,Main Course: Tender chicken cooked in a nutrient-dense puree of spinach and mustard greens. Savory and herbal.
Shrimp Tandoori Main,Indian,Main Course: Large charred prawns seasoned with carom seeds and yogurt. Served as a protein-heavy main dish.
Bhindi Masala,Indian,"Main Course: Sautéed okra with translucent onions, dry mango powder, and turmeric. A non-slimy, flavorful veg dish."
Chole Bhature,Indian,"Main Course: Spicy chickpea curry served with a large, fluffy deep-fried bread. A quintessential North Indian feast."
Fish Curry Goan,Indian,Main Course: Coastal fish curry made with a coconut milk base and tangy tamarind or kokum. Tropical and spicy.
Lamb Madras,Indian,"Main Course: Fiery South Indian lamb curry featuring coconut, curry leaves, and a heavy dose of red chilies."
Navratan Korma,Indian,"Main Course: 'Nine-gem' curry made with nine different vegetables, fruits, and nuts in a mild creamy sauce."
Yellow Dal Tadka,Indian,"Main Course: Yellow lentils tempered with ghee, cumin, garlic, and dried chilies. The ultimate Indian comfort food."
Paneer Bhurji,Indian,"Main Course: Scrambled cottage cheese sautéed with onions, tomatoes, and green chilies. Quick and savory."
Chicken 65 Main,Indian,Main Course: Large portion of fiery deep-fried chicken tempered with yogurt and curry leaves. Served with rice or paratha.
Goat Biryani,Indian,"Main Course: Slow-cooked 'Dum' rice dish with tender goat meat, aromatic spices, and caramelized onions."
Vegetable Pulao,Indian,Main Course: Fragrant basmati rice cooked with seasonal vegetables and whole spices like cloves and cinnamon.
Chicken Do Pyaza,Indian,Main Course: A savory curry featuring onions added at two different stages to provide both sweetness and texture.
Kadhai Chicken,Indian,Main Course: Chicken sautéed with bell peppers and coarse spices in a traditional Indian wok. Bold and peppery.
Tandoori Mixed Grill,Indian,"Main Course: An assortment of charred meats including chicken tikka, seekh kebabs, and prawns. Smoky, protein-rich, and festive."
Lamb Boti Kabab Main,Indian,"Main Course: A generous portion of succulent lamb chunks marinated in yogurt and spices, grilled in a tandoor."
Paneer Makhani,Indian,"Main Course: Cubes of cottage cheese in a rich, buttery, and slightly sweet tomato-cream sauce. Velvety and mild."
Shrimp Curry,Indian,Main Course: Fresh prawns simmered in a coconut or onion-tomato based gravy with coastal spices. Savory and zesty.
Dal Fry,Indian,"Main Course: Yellow lentils cooked with onions and tomatoes, then finished with a 'tadka' of garlic and cumin."
Keema Matar,Indian,Main Course: Minced lamb or goat meat cooked with green peas and warm garam masala spices. Savory and textured.
Mushroom Masala,Indian,"Main Course: Sautéed mushrooms in a thick, spicy gravy. Earthy and packed with umami."
Fish Tikka Main,Indian,Main Course: Large serving of grilled fish fillets marinated in mustard oil and tandoori spices.
Chicken Chettinad,Indian,"Main Course: A fiery and aromatic South Indian chicken curry featuring black pepper, kalpasi, and coconut."
Egg Curry,Indian,"Main Course: Hard-boiled eggs simmered in a spicy tomato-onion gravy. Simple, protein-rich comfort food."
Nihari,Indian,"Main Course: A slow-cooked, rich beef or lamb stew flavored with marrow and long pepper. Deep, gelatinous, and savory."
Aloo Matar,Indian,"Main Course: A classic North Indian home-style curry of potatoes and green peas in a thin, spiced gravy."
Lamb Pasanda,Indian,"Main Course: A creamy, mild lamb curry marinated in yogurt and flavored with almonds and cardamom. Nutty and delicate."
Gobi Manchurian Main,Indian,"Main Course: Indo-Chinese fusion. Crispy cauliflower florets in a thick, spicy-tangy soy sauce. Savory street-style meal."
Chilli Chicken Main,Indian,"Main Course: Stir-fried crispy chicken with bell peppers and green chilies in a bold, dark soy sauce."
Chicken Tikka Main,Indian,Main Course: A platter of smoky grilled chicken tikka served as a complete meal with mint chutney and salad.
Vegetable Makhanwala,Indian,"Main Course: Assorted vegetables cooked in a creamy 'Makhani' (buttery) sauce. Rich, sweet, and mild."
Pork Vindaloo,Indian,Main Course: A traditional Goan pork curry with a sharp vinegar tang and intense heat from dried red chilies.
Methi Chicken,Indian,"Main Course: Chicken cooked with fresh fenugreek leaves. Bitter-savory, aromatic, and deeply herbal."
Paneer Ghee Roast,Indian,Main Course: A Mangalorean specialty. Paneer roasted in clarified butter (ghee) with a fiery red chili paste.
Lemon Rice,Indian,"Main Course: Zesty South Indian basmati rice flavored with lemon juice, mustard seeds, turmeric, and crunchy peanuts."
Bisi Bele Bath,Indian,"Main Course: A wholesome Karnataka-style dish of rice, lentils, and vegetables cooked with a unique spice blend."
Tandoori Salmon,Indian,"Main Course: Premium salmon fillets marinated in Indian spices and charred. Smoky, flaky, and rich in fats."
Chilli Paneer Main,Indian,"Main Course: A main-sized serving of Indo-Chinese stir-fried paneer with onions, peppers, and chili sauce."
Puri Bhaji,Indian,Main Course: Deep-fried puffed bread served with a spiced potato curry. A popular Indian breakfast or lunch staple.
Gulab Jamun,Indian,Dessert: Spongy milk-solid balls deep-fried and soaked in a rose and cardamom flavored sugar syrup. Soft and syrupy.
Rasmalai,Indian,"Dessert: Flattened cottage cheese patties soaked in thickened, sweetened milk flavored with saffron and pistachios."
Kheer,Indian,"Dessert: Traditional rice pudding cooked with milk, sugar, and dry fruits. Creamy, comforting, and aromatic."
Gajar Ka Halwa,Indian,"Dessert: Rich pudding made from grated carrots simmered in milk, ghee, and sugar. Warm and decadent."
Rasgulla,Indian,Dessert: Spongy white balls of chhena (cottage cheese) cooked in a light sugar syrup. Light and juicy.
Kulfi,Indian,Dessert: Traditional dense Indian ice cream made by reducing milk for hours. Flavored with saffron and pistachios.
Jalebi,Indian,"Dessert: Crispy, spiral-shaped deep-fried batter soaked in sugar syrup. Crunchy, sticky, and intensely sweet."
Laddu,Indian,"Dessert: Round festive sweets made from flour, sugar, and ghee. Features varied textures from nutty to smooth."
Kaju Katli,Indian,"Dessert: Thin, diamond-shaped fudge made from premium cashews and sugar. Silky, nutty, and celebratory."
Mango Lassi,Indian,"Drink: A thick, refreshing yogurt-based smoothie blended with ripe Alphonso mangoes and a touch of cardamom."
Falooda,Indian,"Dessert/Drink: A cold dessert soup with rose syrup, vermicelli, basil seeds, and a scoop of ice cream. Textural variety."
Shrikhand,Indian,"Dessert: Thick, strained yogurt flavored with saffron, cardamom, and sugar. Velvety, tangy, and sweet."
Soan Papdi,Indian,"Dessert: Flaky, cube-shaped dessert with a crisp, fiber-like texture that melts in the mouth. Made from gram flour."
Kalakand,Indian,"Dessert: A moist, grainy milk cake made from solidified sweetened milk and cottage cheese. Rich and milky."
Barfi,Indian,Dessert: Dense milk-based fudge available in various flavors like pistachio or almond. A staple Indian sweet.
Moong Dal Halwa,Indian,"Dessert: A rich, heavy pudding made from split yellow lentils, swimming in ghee and sugar. Deeply savory-sweet."
Peda,Indian,"Dessert: Soft, circular fudge made from 'khoya' (evaporated milk solids) and sugar. A popular temple offering."
Mysore Pak,Indian,"Dessert: A porous, ghee-rich fudge made from chickpea flour. It has a unique buttery, melt-in-the-mouth texture."
Sandesh,Indian,"Dessert: A delicate Bengali sweet made from fresh chhena (cottage cheese). Light, airy, and mildly sweet."
Gulab Jamun Cheesecake,Indian,Dessert: Modern fusion dish combining the creamy richness of cheesecake with the syrup-soaked joy of Gulab Jamun.
Tzatziki with Warm Pita,Greek,"Appetizer: Cool yogurt dip with cucumber, garlic, and dill. Served with toasted bread. Refreshing and zesty."
Spanakopita,Greek,"Appetizer: Flaky phyllo pastry layers filled with spinach, feta cheese, and onions. Savory, buttery, and herbal."
Saganaki,Greek,Appetizer: Pan-seared kefalograviera cheese flambéed with brandy and finished with lemon juice. Salty and gooey.
Dolmades,Greek,"Appetizer: Tender grape leaves stuffed with rice, herbs, and sometimes meat, drizzled with olive oil and lemon."
Calamari Tiganita,Greek,Appetizer: Crispy deep-fried squid rings seasoned with sea salt and served with fresh lemon wedges.
Grilled Octopus,Greek,"Appetizer: Charred octopus tentacles marinated in red wine vinegar and oregano. Smoky, tender, and acidic."
Htipiti,Greek,"Appetizer: Spicy roasted red pepper and feta cheese dip. A creamy, tangy spread with a subtle chili kick."
Melitzanosalata,Greek,"Appetizer: Roasted eggplant dip with garlic, olive oil, and lemon. Smoky, rustic, and vegan-friendly."
Keftedakia,Greek,"Appetizer: Traditional small beef meatballs seasoned with mint and oregano, lightly fried until golden."
Kolokithokeftedes,Greek,"Appetizer: Crispy zucchini fritters made with feta, dill, and mint. A garden-fresh Mediterranean snack."
Gigantes Plaki,Greek,Appetizer: Giant white beans baked in a rich tomato sauce with herbs and olive oil. Hearty and savory.
Tyropita,Greek,"Appetizer: Triangle-shaped phyllo pies filled with a blend of Greek cheeses. Rich, salty, and crunchy."
Taramosalata,Greek,"Appetizer: Creamy fish roe dip made with lemon, olive oil, and breadcrumbs. Salty, oceanic, and smooth."
Hummus with Warm Pita,Greek,Appetizer: Smooth chickpea and tahini spread with lemon and garlic. A Mediterranean staple served with pita.
Greek Salad,Greek,"Salad: Horiatiki. Fresh tomatoes, cucumbers, red onions, olives, and a large slab of feta with dried oregano."
Marinated Olives,Greek,"Appetizer: Assorted Kalamata and green olives cured in vinegar, citrus zest, and wild herbs."
Feta with Honey and Sesame,Greek,"Appetizer: Block of feta cheese wrapped in phyllo, fried, and drizzled with thyme honey and toasted sesame seeds."
Shrimp Saganaki,Greek,"Appetizer: Prawns sautéed with tomatoes, garlic, and herbs, topped with crumbled feta and baked."
Grilled Halloumi,Greek,"Appetizer: Firm Cypriot cheese grilled until charred. Unique squeaky texture with a salty, milky finish."
Loukaniko,Greek,Appetizer: Traditional pork sausage flavored with orange peel and fennel seeds. Aromatic and intensely savory.
Dakos,Greek,"Appetizer: Cretan barley rusk topped with grated tomatoes, crumbled feta, and extra virgin olive oil."
Fried Anchovies,Greek,Appetizer: Small whole fish (Marides) lightly floured and fried until crispy. Eaten whole as a salty snack.
Stuffed Florina Peppers,Greek,Appetizer: Sweet red peppers from Northern Greece stuffed with a spicy feta cheese mixture and roasted.
Avgolemono Soup,Greek,"Soup: Classic chicken soup thickened with a silky egg and lemon sauce. Bright, velvety, and comforting."
Grilled Sardines,Greek,"Appetizer: Fresh whole sardines grilled with sea salt, lemon, and olive oil. Rich in healthy fats and smoky flavor."
Manouri Cheese with Figs,Greek,"Appetizer: Creamy, mild sheep's milk cheese topped with sweet poached figs and honey. A sophisticated sweet-savory meze."
Tomato Keftedes,Greek,"Appetizer: Santorini-style tomato fritters with herbs and onions. Juicy, aromatic, and crispy on the edges."
Skordalia,Greek,Appetizer: Ultra-potent garlic and potato (or nut) dip finished with vinegar and olive oil. Intense and creamy.
Zucchini Chips with Skordalia,Greek,Appetizer: Paper-thin fried zucchini rounds served with a side of sharp garlic dip. Extremely crunchy and bold.
Beet Salad with Skordalia,Greek,Salad: Roasted earthy beets served cold with a thick garlic and almond puree. Vibrant and punchy.
Fava Dip,Greek,"Appetizer: Silky Santorini yellow split pea puree topped with capers, red onions, and extra virgin olive oil."
Phyllo Wrapped Shrimp,Greek,Appetizer: Large prawns encased in shredded phyllo dough (kataifi) and fried until golden. Elegant and very crunchy.
Roasted Cauliflower with Tahini,Greek,Appetizer: Caramelized cauliflower florets drizzled with a nutty sesame paste and lemon dressing. Earthy and tangy.
Grilled Quail,Greek,"Appetizer: Small game bird marinated in wild oregano and lemon, grilled over charcoal. Gamey and smoky."
Lentil Soup (Fakes),Greek,Soup: Traditional brown lentil soup finished with a heavy pour of red wine vinegar and olive oil. Hearty and acidic.
Spinach and Leek Pie,Greek,Appetizer: Prasopita. A variation of spanakopita using sweet leeks and fresh herbs in flaky phyllo.
Mussels with Ouzo,Greek,"Appetizer: Fresh mussels steamed in a fragrant broth of anise-flavored ouzo, garlic, and fennel."
Fried Eggplant,Greek,Appetizer: Thick slices of eggplant lightly battered and fried. Best served with tzatziki for a cooling contrast.
Greek Fries with Oregano and Feta,Greek,"Side: Hand-cut potatoes fried and tossed with sea salt, dried wild oregano, and crumbled feta cheese."
Lamb Riblets,Greek,"Appetizer: Small, fatty lamb ribs seasoned with lemon and salt, grilled until crispy. Indulgent and smoky."
Cretan Meat Pies,Greek,Appetizer: Kalitsounia. Small handmade pastries filled with spiced minced meat and local herbs.
Chickpea Stew,Greek,"Appetizer: Revithia. Slow-baked chickpeas with onions and bay leaves. Creamy, buttery, and comforting."
Grilled Scallops with Lemon,Greek,"Appetizer: Sea scallops seared with a simple lemon-butter herb sauce. Sweet, delicate, and bright."
Pastitsio Bites,Greek,"Appetizer: Mini versions of the classic pasta bake, featuring tubular pasta and béchamel in bite-sized portions."
Pickled Octopus,Greek,Appetizer: Tender octopus preserved in a sharp red wine vinegar brine with peppercorns and bay leaves.
